ligand,pubchem_query,role,herb,scaffold,priority,sdf_file,notes,focused_role,system,state,chain_pair,receptor_file,grid_id,grid_state,grid_type,center_x,center_y,center_z,size_x,size_y,size_z,exhaustiveness,seed,output_prefix,run_mode,score_best,output_pdbqt,unidock_returncode,unidock_outdir,method,source_csv,ligand_std,grid_category,stage_source,ligand_sdf,candidate_class,rank_as_candidate,pose_available,ligand_pdbqt,receptor_pdb,score_pdbqt,ligand_heavy_atoms,min_receptor_distance,contact_residue_count,optn_contact_count,tbk1_contact_count,dual_chain_contact,cleft_contact_strong,min_dist_to_optn_res50,res50_within_8A,optn_contact_residues,tbk1_contact_residues,lig_centroid_x,lig_centroid_y,lig_centroid_z,error,ligand_efficiency_score_per_heavy_atom
Coptisine_anchor,Coptisine,anchor_existing_main,Coptidis Rhizoma / Huanglian,protoberberine alkaloid,anchor,ligands_sdf_manual/Coptisine_anchor_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,main_anchor,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,1,S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed1,focused_blind_seed3,-6.695,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed1_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Coptisine,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed1_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.695,24.0,3.347669039794704,6.0,3.0,3.0,True,True,3.347669039794704,True,50GLU;53GLN;57ALA,698GLU;701VAL;704LEU,3.548125000000001,17.121624999999998,-35.653125,,-0.27895833333333336
Linarin_anchor,Linarin,anchor_existing_raw_score,Buddlejae Flos / Mimenghua,flavone glycoside,anchor,ligands_sdf_manual/Linarin_anchor_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,conditional_anchor,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,1,S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed1,focused_blind_seed3,-5.995,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed1_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Linarin,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed1_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-5.995,42.0,2.9620914908219844,10.0,3.0,7.0,True,True,5.267288581424034,True,53GLN;57ALA;61ASN,701VAL;702LYS;704LEU;705ALA;708ASN;709HIS;712GLU,4.142309523809523,17.601333333333333,-28.933642857142857,,-0.14273809523809525
Tanshinone_IIA,Tanshinone IIA,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Tanshinone_IIA_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,1,S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed1,focused_blind_seed3,-6.518,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed1_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Tanshinone_IIA,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed1_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.518,22.0,3.245719334754622,6.0,4.0,2.0,True,True,3.245719334754622,True,50GLU;53GLN;54LEU;57ALA,701VAL;704LEU,3.6949545454545456,17.051909090909092,-34.91022727272727,,-0.29627272727272724
Cryptotanshinone,Cryptotanshinone,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Cryptotanshinone_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,1,S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed1,focused_blind_seed3,-6.568,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed1_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Cryptotanshinone,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed1_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.568,22.0,3.4011108479436536,7.0,3.0,4.0,True,True,3.761021270878431,True,50GLU;53GLN;54LEU,701VAL;702LYS;704LEU;705ALA,2.7435,17.892818181818182,-34.10690909090909,,-0.2985454545454545
Tanshinone_I,Tanshinone I,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Tanshinone_I_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,1,S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed1,focused_blind_seed3,-6.209,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed1_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Tanshinone_I,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed1/S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed1_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.209,21.0,3.489547391854708,6.0,2.0,4.0,True,True,8.472193399586676,False,54LEU;58MET,700VAL;703GLU;704LEU;707ASN,-3.710476190476191,8.189190476190475,-33.09738095238095,,-0.29566666666666663
Coptisine_anchor,Coptisine,anchor_existing_main,Coptidis Rhizoma / Huanglian,protoberberine alkaloid,anchor,ligands_sdf_manual/Coptisine_anchor_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,main_anchor,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,2,S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed2,focused_blind_seed3,-6.691,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed2_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Coptisine,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed2_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.691,24.0,3.305298322390885,7.0,4.0,3.0,True,True,3.305298322390885,True,50GLU;53GLN;54LEU;57ALA,698GLU;701VAL;704LEU,3.6208333333333336,17.061958333333333,-35.530708333333344,,-0.27879166666666666
Linarin_anchor,Linarin,anchor_existing_raw_score,Buddlejae Flos / Mimenghua,flavone glycoside,anchor,ligands_sdf_manual/Linarin_anchor_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,conditional_anchor,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,2,S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed2,focused_blind_seed3,-6.29,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed2_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Linarin,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed2_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.29,42.0,2.841252012757758,10.0,4.0,6.0,True,True,5.653928722578668,True,53GLN;57ALA;60LEU;61ASN,701VAL;704LEU;705ALA;708ASN;711LEU;712GLU,5.528523809523809,16.454809523809526,-27.5157619047619,,-0.14976190476190476
Tanshinone_IIA,Tanshinone IIA,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Tanshinone_IIA_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,2,S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed2,focused_blind_seed3,-6.293,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed2_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Tanshinone_IIA,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed2_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.293,22.0,3.4202960398187754,6.0,3.0,3.0,True,True,3.493747844364275,True,50GLU;53GLN;54LEU,701VAL;704LEU;705ALA,2.832136363636364,17.987818181818184,-34.062545454545464,,-0.28604545454545455
Cryptotanshinone,Cryptotanshinone,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Cryptotanshinone_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,2,S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed2,focused_blind_seed3,-6.555,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed2_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Cryptotanshinone,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed2_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.555,22.0,3.453868845222701,6.0,3.0,3.0,True,True,3.766874832005969,True,50GLU;53GLN;54LEU,701VAL;704LEU;705ALA,2.7642727272727274,17.953227272727272,-34.12281818181819,,-0.2979545454545454
Tanshinone_I,Tanshinone I,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Tanshinone_I_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,2,S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed2,focused_blind_seed3,-6.201,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed2_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Tanshinone_I,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed2/S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed2_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.201,21.0,3.4587142119579632,6.0,2.0,4.0,True,True,8.481576563351888,False,54LEU;58MET,700VAL;703GLU;704LEU;707ASN,-3.750666666666667,8.221666666666668,-33.13914285714285,,-0.29528571428571426
Coptisine_anchor,Coptisine,anchor_existing_main,Coptidis Rhizoma / Huanglian,protoberberine alkaloid,anchor,ligands_sdf_manual/Coptisine_anchor_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,main_anchor,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,3,S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed3,focused_blind_seed3,-6.539,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed3_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Coptisine,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Coptisine_anchor_WT_AC_WT_blind_seed3_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.539,24.0,3.315623018378296,6.0,3.0,3.0,True,True,3.315623018378296,True,50GLU;53GLN;57ALA,698GLU;701VAL;704LEU,3.4985416666666667,17.201249999999998,-35.81325,,-0.2724583333333333
Linarin_anchor,Linarin,anchor_existing_raw_score,Buddlejae Flos / Mimenghua,flavone glycoside,anchor,ligands_sdf_manual/Linarin_anchor_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,conditional_anchor,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,3,S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed3,focused_blind_seed3,-5.327,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed3_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Linarin,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Linarin_anchor_WT_AC_WT_blind_seed3_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-5.327,42.0,2.894961485063316,8.0,3.0,5.0,True,True,4.710140337612033,True,53GLN;54LEU;57ALA,701VAL;702LYS;704LEU;705ALA;708ASN,3.0297142857142854,18.50440476190476,-32.303928571428585,,-0.12683333333333333
Tanshinone_IIA,Tanshinone IIA,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Tanshinone_IIA_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,3,S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed3,focused_blind_seed3,-6.551,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed3_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Tanshinone_IIA,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Tanshinone_IIA_WT_AC_WT_blind_seed3_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.551,22.0,3.2189235778439933,7.0,4.0,3.0,True,True,3.2189235778439933,True,50GLU;53GLN;54LEU;57ALA,701VAL;704LEU;708ASN,3.8425909090909087,16.935454545454547,-34.613181818181815,,-0.2977727272727273
Cryptotanshinone,Cryptotanshinone,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Cryptotanshinone_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,3,S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed3,focused_blind_seed3,-6.57,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed3_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Cryptotanshinone,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Cryptotanshinone_WT_AC_WT_blind_seed3_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.57,22.0,3.427841449075496,7.0,3.0,4.0,True,True,3.77265118981334,True,50GLU;53GLN;54LEU,701VAL;702LYS;704LEU;705ALA,2.760590909090909,17.928545454545453,-34.13259090909091,,-0.29863636363636364
Tanshinone_I,Tanshinone I,new_diterpene_optional,Salviae Miltiorrhizae Radix / Danshen,diterpene quinone,optional,ligands_sdf_manual/Tanshinone_I_3D.sdf,WT AC CB-Dock2 residue-50 adjacent pocket center; added in v2 per feedback.,new_focused_candidate,WT_AC,WT,AC,receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,AC_WT_blind_center_28A,WT,WT_blind_center,4.227,14.183,-34.991,28,28,28,32,3,S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed3,focused_blind_seed3,-6.184,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed3_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Tanshinone_I,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/WT_AC_AC_WT_blind_center_28A_seed3/S15BFocused_Tanshinone_I_WT_AC_WT_blind_seed3_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/WT_AC_5EOF_clean.pdb,-6.184,21.0,3.4511322779632767,6.0,2.0,4.0,True,True,8.447327151235475,False,54LEU;58MET,700VAL;703GLU;704LEU;707ASN,-3.740619047619047,8.202952380952382,-33.13419047619048,,-0.2944761904761905
Coptisine_anchor,Coptisine,anchor_existing_main,Coptidis Rhizoma / Huanglian,protoberberine alkaloid,anchor,ligands_sdf_manual/Coptisine_anchor_3D.sdf,E50K AC transformed CB-Dock2 residue-50 pocket center.,main_anchor,E50K_AC,E50K,AC,receptors_pdb_aligned/E50K_AC_5EOA_superposed_to_WT_AC.pdb,AC_E50K_blind_center_28A,E50K,E50K_blind_center,-1.0751387137523478,8.43674429315761,-26.002095209157083,28,28,28,32,1,S15BFocused_Coptisine_anchor_E50K_AC_E50K_blind_seed1,focused_blind_seed3,-6.71,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/E50K_AC_AC_E50K_blind_center_28A_seed1/S15BFocused_Coptisine_anchor_E50K_AC_E50K_blind_seed1_ligand_out.pdbqt,0,/content/stage15B_focused_selected7_outputs/focused_blind_seed3/E50K_AC_AC_E50K_blind_center_28A_seed1,"Uni-Dock(vina_scoring, search_mode=fast)",/mnt/data/stage16_work/stage15B_focused_selected7_summary/focused_blind_seed3/stage15B_focused_selected7_focused_blind_seed3_raw.csv,Coptisine,blind,stage15B,,,,True,/mnt/data/stage16_work/stage15B_focused_selected7_outputs/focused_blind_seed3/E50K_AC_AC_E50K_blind_center_28A_seed1/S15BFocused_Coptisine_anchor_E50K_AC_E50K_blind_seed1_ligand_out.pdbqt,/mnt/data/stage16_work/stage14A_vina_seed10_validation_package/receptors_pdb_aligned/E50K_AC_5EOA_superposed_to_WT_AC.pdb,-6.71,24.0,3.1528319016401745,6.0,2.0,4.0,True,True,12.853755482348344,False,61ASN;68ARG,708ASN;711LEU;712GLU;715GLY,7.492666666666665,13.744333333333335,-19.021291666666677,,-0.27958333333333335
